,q01_clear_receiver_owner,q02_sender_cloning,q03_receiver_loop,q04_mailbox_pattern,q05_fan_in,q06_fan_out,q07_worker_queue,q08_shutdown_signal,q09_data_transport,q10_command_messages,q11_notification_messages,q12_background_dispatch,q13_cross_thread_usage,q14_cross_async_task_usage
q01_clear_receiver_owner,,-0.12,0.13,0.08,-0.18,0.05,0.06,0.09,-0.04,0.09,0.16,0.12,0.08,0.13
q02_sender_cloning,-0.12,,0.22,0.32,0.58,0.24,0.19,0.07,0.33,0.34,-0.06,0.08,0.23,-0.02
q03_receiver_loop,0.13,0.22,,0.37,0.30,0.10,0.31,0.16,0.21,0.28,0.33,0.61,0.12,0.12
q04_mailbox_pattern,0.08,0.32,0.37,,0.37,-0.08,-0.08,0.18,0.16,0.62,0.21,0.20,-0.03,0.07
q05_fan_in,-0.18,0.58,0.30,0.37,,0.03,0.03,0.07,0.23,0.35,0.03,0.13,0.21,-0.00
q06_fan_out,0.05,0.24,0.10,-0.08,0.03,,0.15,0.03,0.03,-0.02,0.23,0.06,0.08,0.02
q07_worker_queue,0.06,0.19,0.31,-0.08,0.03,0.15,,-0.05,0.06,0.12,-0.15,0.42,0.15,0.10
q08_shutdown_signal,0.09,0.07,0.16,0.18,0.07,0.03,-0.05,,-0.17,0.10,0.26,0.22,0.08,0.25
q09_data_transport,-0.04,0.33,0.21,0.16,0.23,0.03,0.06,-0.17,,0.08,-0.24,0.18,0.06,-0.04
q10_command_messages,0.09,0.34,0.28,0.62,0.35,-0.02,0.12,0.10,0.08,,0.05,0.34,-0.05,0.15
q11_notification_messages,0.16,-0.06,0.33,0.21,0.03,0.23,-0.15,0.26,-0.24,0.05,,0.10,0.13,0.12
q12_background_dispatch,0.12,0.08,0.61,0.20,0.13,0.06,0.42,0.22,0.18,0.34,0.10,,0.23,0.16
q13_cross_thread_usage,0.08,0.23,0.12,-0.03,0.21,0.08,0.15,0.08,0.06,-0.05,0.13,0.23,,-0.46
q14_cross_async_task_usage,0.13,-0.02,0.12,0.07,-0.00,0.02,0.10,0.25,-0.04,0.15,0.12,0.16,-0.46,
